addr,name,unit,confidence,name_source
0x0010FCE8,SePlaySESQ,soundse.c,reached,trace_string
0x0010FEE0,soundse_0010FEE0,soundse.c,reached,generated
0x00110068,soundse_00110068,soundse.c,reached,generated
0x001100E8,soundse_001100E8,soundse.c,reached,generated
0x00110120,soundse_00110120,soundse.c,reached,generated
0x001101D0,soundse_001101D0,soundse.c,reached,generated
0x001102D8,soundse_001102D8,soundse.c,reached,generated
0x00110320,soundse_00110320,soundse.c,unreferenced,generated
0x00110410,soundse_00110410,soundse.c,unreferenced,generated
0x00110478,soundse_00110478,soundse.c,unreferenced,generated
0x00110488,soundse_00110488,soundse.c,reached,generated
0x00110500,soundse_00110500,soundse.c,reached,generated
0x00110528,soundse_00110528,soundse.c,reached,generated
0x001105C0,soundse_001105C0,soundse.c,reached,generated
0x00110600,soundse_00110600,soundse.c,reached,generated
0x00110708,soundse_00110708,soundse.c,reached,generated
0x00110780,soundse_00110780,soundse.c,reached,generated
0x00110848,soundbgm_00110848,soundbgm.c,reached,generated
0x001108E8,soundbgm_001108E8,soundbgm.c,reached,generated
0x001109B0,soundbgm_001109B0,soundbgm.c,reached,generated
0x00110A30,soundbgm_00110A30,soundbgm.c,reached,generated
0x00110A88,soundbgm_00110A88,soundbgm.c,reached,generated
0x00110AC8,soundbgm_00110AC8,soundbgm.c,reached,generated
0x00110B78,soundbgm_00110B78,soundbgm.c,reached,generated
0x00110B90,soundbgm_00110B90,soundbgm.c,reached,generated
0x00110C38,soundbgm_00110C38,soundbgm.c,reached,generated
0x00110CB8,soundbgm_00110CB8,soundbgm.c,unreferenced,generated
0x00110CF8,soundbgm_00110CF8,soundbgm.c,reached,generated
0x00110D08,SoundStrInit,soundbgm.c,reached,trace_string
0x00110D48,SoundStrExit,soundbgm.c,reached,trace_string
0x00110D80,soundbgm_00110D80,soundbgm.c,unreferenced,generated
0x00110E90,soundbgm_00110E90,soundbgm.c,reached,generated
0x00110F20,soundbgm_00110F20,soundbgm.c,reached,generated
0x00110F98,soundbgm_00110F98,soundbgm.c,reached,generated
0x00110FF0,func_00110FF0,,reached,generated
0x001110D0,soundstr_001110D0,soundstr.c,reached,generated
0x00111290,func_00111290,,reached,generated
0x001112F8,func_001112F8,,reached,generated
0x00111368,func_00111368,,reached,generated
0x001113A8,func_001113A8,,reached,generated
0x001113B0,func_001113B0,,reached,generated
0x00111438,func_00111438,,reached,generated
0x00111488,func_00111488,,reached,generated
0x001115B0,func_001115B0,,reached,generated
0x00111620,func_00111620,,reached,generated
0x00111660,func_00111660,,reached,generated
0x00111690,func_00111690,,unreferenced,generated
0x00111698,func_00111698,,reached,generated
0x00111740,func_00111740,,reached,generated
0x00111878,func_00111878,,reached,generated
0x001119B0,func_001119B0,,reached,generated
